
Epoch | Accuracy 
0     | 96.0%
1     | 96.0%
2     | 97.0%
3     | 98.0%
4     | 96.0%
5     | 96.0%
6     | 98.0%
7     | 96.0%
8     | 97.0%
9     | 98.0%
10     | 97.0%
11     | 96.0%
12     | 97.0%
13     | 97.0%
14     | 96.0%
15     | 96.0%
16     | 96.0%
17     | 96.0%
18     | 96.0%
19     | 96.0%
20     | 97.0%
21     | 96.0%
22     | 96.0%
23     | 96.0%
24     | 96.0%
25     | 96.0%
26     | 96.0%
27     | 96.0%
28     | 96.0%
29     | 96.0%
30     | 96.0%
31     | 96.0%
32     | 98.0%
33     | 98.0%
34     | 97.0%
35     | 97.0%
36     | 97.0%
37     | 96.0%
38     | 96.0%
39     | 98.0%
40     | 98.0%
41     | 98.0%
42     | 97.0%
43     | 96.0%
44     | 96.0%
45     | 96.0%
46     | 96.0%
47     | 98.0%
48     | 96.0%
49     | 96.0%
50     | 98.0%
51     | 98.0%
52     | 98.0%
53     | 98.0%
54     | 98.0%
55     | 98.0%
56     | 98.0%
57     | 97.0%
58     | 96.0%
59     | 96.0%
60     | 96.0%
61     | 96.0%
62     | 96.0%
63     | 96.0%
64     | 98.0%
65     | 98.0%
66     | 98.0%
67     | 98.0%
68     | 98.0%
69     | 98.0%
70     | 98.0%
71     | 98.0%
72     | 98.0%
73     | 98.0%
74     | 98.0%
75     | 98.0%
76     | 98.0%
77     | 98.0%
78     | 98.0%
79     | 98.0%
80     | 97.0%
81     | 97.0%
82     | 98.0%
83     | 98.0%
84     | 97.0%
85     | 96.0%
86     | 96.0%
87     | 96.0%
88     | 98.0%
89     | 98.0%
90     | 98.0%
91     | 98.0%
92     | 98.0%
93     | 98.0%
94     | 98.0%
95     | 97.0%
96     | 97.0%
97     | 97.0%
98     | 96.0%
99     | 98.0%
100     | 98.0%
101     | 98.0%
102     | 97.0%
103     | 97.0%
104     | 97.0%
105     | 96.0%
106     | 98.0%
107     | 98.0%
108     | 98.0%
109     | 98.0%
110     | 98.0%
111     | 98.0%
112     | 97.0%
113     | 96.0%
114     | 96.0%
115     | 98.0%
116     | 98.0%
117     | 98.0%
118     | 98.0%
119     | 97.0%
120     | 96.0%
121     | 96.0%
122     | 98.0%
123     | 98.0%
124     | 98.0%
125     | 98.0%
126     | 97.0%
127     | 97.0%
128     | 98.0%
129     | 98.0%
130     | 98.0%
131     | 98.0%
132     | 98.0%
133     | 98.0%
134     | 98.0%
135     | 98.0%
136     | 98.0%
137     | 98.0%
138     | 98.0%
139     | 98.0%
140     | 98.0%
141     | 98.0%
142     | 98.0%
143     | 98.0%
144     | 98.0%
145     | 98.0%
146     | 98.0%
147     | 98.0%
148     | 98.0%
149     | 98.0%
150     | 98.0%
151     | 98.0%
152     | 98.0%
153     | 97.0%
154     | 99.0%
155     | 100.0%
Result for success weights only: 
[ -1.96 ][ 2.78 ][ -2.87 ][ -0.17 ][ -4.07 ][ -1.70 ][ 0.83 ][ 0.86 ][ -0.78 ][ -1.72 ]
[ -6.86 ][ 2.87 ][ -4.30 ][ 0.40 ][ -1.18 ][ 0.16 ][ -0.82 ][ -5.41 ][ 0.64 ][ -3.40 ][ 7.12 ]
[ -5.28 ][ 1.16 ][ 3.76 ][ -3.00 ][ 0.36 ][ 0.81 ][ -9.86 ][ -3.81 ][ 4.48 ][ -5.70 ][ -0.03 ]
[ -0.25 ][ -5.45 ][ -0.69 ][ 0.66 ][ -0.07 ][ -0.31 ][ 5.96 ][ 0.52 ][ -1.01 ][ 0.85 ][ -1.70 ]
[ -2.31 ][ 1.38 ][ 3.58 ][ 3.19 ][ -7.06 ][ 5.28 ][ -3.63 ][ 0.01 ][ -4.73 ][ 4.13 ][ -2.01 ]
